trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trialResp.rt,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,0,,,,,,1,-0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.7859,,,,,,0,6,6,6,1
,1,,,,,,1,-0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,0,7,7,7,1
space,0,,,,,,6,0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.5442,,,,,,0,8,8,8,1
,0,,,,,,1,-0.2,0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,0,9,9,9,1
space,0,,,,,,5,0,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.7311,,,,,,0,10,10,10,1
space,1,,,,,,6,0.2,0,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.7017,,,,,,0,11,11,11,1
space,0,,,,,,3,0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.4228,,,,,,0,12,12,12,1
space,0,,,,,,1,-0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.5835,,,,,,0,13,13,13,1
space,0,,,,,,7,-0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.2442,,,,,,0,14,14,14,1
space,0,,,,,,9,0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.7548,,,,,,0,15,15,15,1
space,1,,,,,,1,-0.2,0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.8598,,,,,,0,16,16,16,1
,1,,,,,,3,0.2,0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,0,17,17,17,1
space,0,,,,,,7,-0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.2557,,,,,,0,18,18,18,1
space,0,,,,,,5,0,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,0.373,,,,,,0,19,19,19,1
,0,,,,,,3,0.2,0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,,,,,,,0,20,20,20,1
space,0,,,,,,8,0,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.0346,,,,,,0,21,21,21,1
space,0,,,,,,7,-0.2,-0.2,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.2206,,,,,,0,22,22,22,1
space,0,,,,,,4,-0.2,0,,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.9513,,,,,,0,23,23,23,1
space,1,,,,,,8,0,-0.2,space,Athy,001,2022-02-24_14h23.35.658,nBackAlpha3,2020.1.3,Win32,60,1.6257,,,,,,0,24,24,24,1
