trialResp.keys,trialResp.corr,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,square,loc1,loc2,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate,trialResp.rt,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran
space,1,0,47,47,47,1,3,0.2,0.2,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,1.1247,,,,,
,1,0,48,48,48,1,9,0.2,-0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,0,49,49,49,1,7,-0.2,-0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
space,0,0,50,50,50,1,5,0,0,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,0.65,,,,,
,1,0,51,51,51,1,8,0,-0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
space,1,0,52,52,52,1,8,0,-0.2,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,0.6505,,,,,
,1,0,53,53,53,1,7,-0.2,-0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,0,54,54,54,1,4,-0.2,0,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,0,55,55,55,1,5,0,0,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
space,1,0,56,56,56,1,5,0,0,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,0.7169,,,,,
,1,0,57,57,57,1,2,0,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
space,1,0,58,58,58,1,2,0,0.2,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,0.5364,,,,,
,1,0,59,59,59,1,6,0.2,0,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,,,,,
,1,,,,,,5,0,0,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,0,0,0,1
,1,,,,,,2,0,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,1,1,1,1
,1,,,,,,6,0.2,0,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,2,2,2,1
,1,,,,,,9,0.2,-0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,3,3,3,1
,1,,,,,,3,0.2,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,4,4,4,1
,0,,,,,,9,0.2,-0.2,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,5,5,5,1
,1,,,,,,7,-0.2,-0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,6,6,6,1
,1,,,,,,1,-0.2,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,7,7,7,1
,1,,,,,,5,0,0,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,8,8,8,1
,1,,,,,,7,-0.2,-0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,9,9,9,1
space,1,,,,,,5,0,0,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,0.6046,0,10,10,10,1
,1,,,,,,6,0.2,0,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,11,11,11,1
,1,,,,,,3,0.2,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,12,12,12,1
space,1,,,,,,6,0.2,0,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,0.7043,0,13,13,13,1
,1,,,,,,8,0,-0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,14,14,14,1
,1,,,,,,9,0.2,-0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,15,15,15,1
,1,,,,,,9,0.2,-0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,16,16,16,1
,1,,,,,,1,-0.2,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,17,17,17,1
,1,,,,,,3,0.2,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,18,18,18,1
,1,,,,,,5,0,0,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,19,19,19,1
,0,,,,,,3,0.2,0.2,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,20,20,20,1
,1,,,,,,4,-0.2,0,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,21,21,21,1
,1,,,,,,7,-0.2,-0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,22,22,22,1
space,1,,,,,,4,-0.2,0,space,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,1.2432,0,23,23,23,1
,1,,,,,,4,-0.2,0,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,24,24,24,1
,1,,,,,,5,0,0,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,25,25,25,1
,1,,,,,,2,0,0.2,,DJFHFI;UH,001,2022-06-06_10h52.07.633,nBackAlpha3,2020.1.3,Win32,60,,0,26,26,26,1
